ASV_ID,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Strand,Deepest_rank,Deepest_taxon,Accepted_taxonomy
ASV751,Fungi,1.00,Basidiomycota,1.00,Tremellomycetes,1.00,Tremellales,1.00,Tremellaceae,1.00,Cryptococcus,1.00,Cryptococcus_sp.,1.00,+,Species,Cryptococcus_sp.,"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Tremellaceae,g:Cryptococcus,s:Cryptococcus_sp."
ASV759,Fungi,1.00,,,,,,,,,,,,,-,Kingdom,Fungi,k:Fungi
ASV76,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,0.98,Sordariales,0.97,Lasiosphaeriaceae,0.84,,,,,+,Family,Lasiosphaeriaceae,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae"
ASV761,Fungi,1.00,Ascomycota,1.00,Eurotiomycetes,1.00,Chaetothyriales,1.00,,,,,,,+,Order,Chaetothyriales,"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales"
ASV760,Fungi,1.00,Ascomycota,1.00,Eurotiomycetes,1.00,Eurotiales,1.00,Trichocomaceae,1.00,Penicillium,1.00,,,-,Genus,Penicillium,"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium"
ASV762,Fungi,1.00,Basidiomycota,1.00,Microbotryomycetes,1.00,Sporidiobolales,1.00,Sporidiobolaceae,1.00,Rhodosporidiobolus,1.00,Rhodosporidiobolus_colostri,1.00,+,Species,Rhodosporidiobolus_colostri,"k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodosporidiobolus,s:Rhodosporidiobolus_colostri"
ASV763,Fungi,1.00,Basidiomycota,0.95,Tremellomycetes,0.92,Tremellales,0.90,,,,,,,+,Order,Tremellales,"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales"
ASV766,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,0.84,Pleosporales,0.84,,,,,,,+,Order,Pleosporales,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
ASV767,Fungi,1.00,Basidiomycota,0.99,Tremellomycetes,0.98,Tremellales,0.98,Trimorphomycetaceae,0.98,Carlosrosaea,0.98,Carlosrosaea_foliicola,0.98,-,Species,Carlosrosaea_foliicola,"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Trimorphomycetaceae,g:Carlosrosaea,s:Carlosrosaea_foliicola"
ASV768,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Psathyrellaceae,1.00,,,,,+,Family,Psathyrellaceae,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae"
ASV769,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Polyporales,1.00,Sistotremataceae,1.00,Trechispora,1.00,Trechispora_microspora,1.00,+,Species,Trechispora_microspora,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Sistotremataceae,g:Trechispora,s:Trechispora_microspora"
ASV77,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Hypocreales,1.00,Nectriaceae,1.00,Fusarium,1.00,,,+,Genus,Fusarium,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium"
ASV770,Fungi,1.00,Ascomycota,1.00,Taphrinomycetes,0.99,Taphrinales,0.99,Taphrinaceae,0.99,Taphrina,0.99,Taphrina_sp.,0.95,+,Species,Taphrina_sp.,"k:Fungi,p:Ascomycota,c:Taphrinomycetes,o:Taphrinales,f:Taphrinaceae,g:Taphrina,s:Taphrina_sp."
ASV764,Fungi,1.00,Basidiomycota,0.97,,,,,,,,,,,+,Phylum,Basidiomycota,"k:Fungi,p:Basidiomycota"
ASV771,Fungi,1.00,Ascomycota,1.00,Lecanoromycetes,0.85,,,,,,,,,+,Class,Lecanoromycetes,"k:Fungi,p:Ascomycota,c:Lecanoromycetes"
ASV765,Fungi,1.00,Basidiomycota,1.00,Tremellomycetes,1.00,Tremellales,1.00,,,Dioszegia,1.00,Dioszegia_takashimae,1.00,+,Species,Dioszegia_takashimae,"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Dioszegia,s:Dioszegia_takashimae"
ASV772,Fungi,1.00,Ascomycota,0.98,Lecanoromycetes,0.82,,,,,,,,,+,Class,Lecanoromycetes,"k:Fungi,p:Ascomycota,c:Lecanoromycetes"
ASV773,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,1.00,Mycosphaerellales,1.00,Mycosphaerellaceae,1.00,,,,,+,Family,Mycosphaerellaceae,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales,f:Mycosphaerellaceae"
ASV774,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV775,Fungi,1.00,Basidiomycota,0.90,,,,,,,,,,,+,Phylum,Basidiomycota,"k:Fungi,p:Basidiomycota"
ASV776,Fungi,1.00,Basidiomycota,1.00,Agaricostilbomycetes,1.00,Agaricostilbales,1.00,Agaricostilbaceae,1.00,Bensingtonia,1.00,Bensingtonia_sp._AS_2.2601,1.00,+,Species,Bensingtonia_sp._AS_2.2601,"k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Agaricostilbaceae,g:Bensingtonia,s:Bensingtonia_sp._AS_2.2601"
ASV778,Fungi,1.00,Ascomycota,0.99,Leotiomycetes,0.99,Helotiales,0.99,,,,,,,+,Order,Helotiales,"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales"
ASV78,Fungi,1.00,Basidiomycota,1.00,Microbotryomycetes,1.00,Sporidiobolales,1.00,Sporidiobolaceae,1.00,Rhodotorula,1.00,Rhodotorula_sp._CCFEE_5628,1.00,+,Species,Rhodotorula_sp._CCFEE_5628,"k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula,s:Rhodotorula_sp._CCFEE_5628"
ASV781,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,0.94,Xylariales,0.94,Xylariaceae,0.94,Hypoxylon,0.91,Hypoxylon_fuscum,0.91,+,Species,Hypoxylon_fuscum,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae,g:Hypoxylon,s:Hypoxylon_fuscum"
ASV780,Fungi,1.00,Ascomycota,1.00,,,,,,,,,,,+,Phylum,Ascomycota,"k:Fungi,p:Ascomycota"
ASV782,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Tricholomataceae,1.00,Paralepista,1.00,,,+,Genus,Paralepista,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Paralepista"
ASV783,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,0.98,Hypocreales,0.95,,,,,,,+,Order,Hypocreales,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
ASV777,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV784,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Xylariales,0.94,,,,,,,+,Order,Xylariales,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales"
ASV785,Fungi,1.00,Ascomycota,1.00,Ascomycota_class_incertae_sedis,0.86,Ascomycota_order_incertae_sedis,0.86,Ascomycota_family_incertae_sedis,0.86,Preussia,0.86,Preussia_africana,0.84,+,Species,Preussia_africana,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Ascomycota_family_incertae_sedis,g:Preussia,s:Preussia_africana"
ASV786,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Entolomataceae,1.00,Entoloma,0.96,,,+,Genus,Entoloma,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma"
ASV787,Fungi,1.00,Mucoromycota,1.00,Mucoromycetes,1.00,Mucorales,1.00,Umbelopsidaceae,1.00,Umbelopsis,1.00,,,+,Genus,Umbelopsis,"k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Umbelopsidaceae,g:Umbelopsis"
ASV779,Fungi,1.00,Ascomycota,0.99,Leotiomycetes,0.99,Helotiales,0.99,Hyaloscyphaceae,0.99,Lachnellula,0.98,,,+,Genus,Lachnellula,"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae,g:Lachnellula"
ASV788,Fungi,1.00,Basidiomycota,0.98,Tremellomycetes,0.93,Tremellales,0.92,,,,,,,+,Order,Tremellales,"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales"
ASV789,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,1.00,Mycosphaerellales,0.99,Mycosphaerellaceae,0.86,,,,,+,Family,Mycosphaerellaceae,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales,f:Mycosphaerellaceae"
ASV790,Fungi,1.00,Ascomycota,1.00,,,,,,,,,,,+,Phylum,Ascomycota,"k:Fungi,p:Ascomycota"
ASV792,Fungi,1.00,Ascomycota,1.00,Leotiomycetes,1.00,Helotiales,1.00,Hyaloscyphaceae,1.00,Lachnellula,1.00,Lachnellula_subtilissima,0.96,+,Species,Lachnellula_subtilissima,"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae,g:Lachnellula,s:Lachnellula_subtilissima"
ASV793,Fungi,1.00,Ascomycota,1.00,,,,,,,,,,,+,Phylum,Ascomycota,"k:Fungi,p:Ascomycota"
ASV794,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV796,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV797,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV79,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,0.93,Pleosporales,0.93,Leptosphaeriaceae,0.93,,,,,+,Family,Leptosphaeriaceae,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae"
ASV798,Fungi,1.00,Ascomycota,1.00,Lecanoromycetes,1.00,Agyriales,1.00,Agyriaceae,1.00,Sarea,1.00,,,+,Genus,Sarea,"k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Agyriales,f:Agyriaceae,g:Sarea"
ASV80,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV799,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,0.94,Pleosporales,0.92,,,,,,,+,Order,Pleosporales,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
ASV8,Fungi,1.00,Ascomycota,1.00,Leotiomycetes,0.96,Thelebolales,0.96,Thelebolaceae,0.96,,,,,+,Family,Thelebolaceae,"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae"
ASV800,Fungi,1.00,Basidiomycota,1.00,Tremellomycetes,1.00,Tremellales,1.00,,,Dioszegia,1.00,,,+,Genus,Dioszegia,"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Dioszegia"
ASV795,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Hypocreales,1.00,,,,,,,-,Order,Hypocreales,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
ASV801,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV803,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Bolbitiaceae,1.00,Conocybe,1.00,Conocybe_pilosella,1.00,+,Species,Conocybe_pilosella,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae,g:Conocybe,s:Conocybe_pilosella"
ASV804,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Hypocreales,1.00,,,,,,,+,Order,Hypocreales,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
ASV805,Fungi,1.00,Ascomycota,1.00,,,,,,,,,,,+,Phylum,Ascomycota,"k:Fungi,p:Ascomycota"
ASV806,Fungi,1.00,Ascomycota,0.97,,,,,,,,,,,+,Phylum,Ascomycota,"k:Fungi,p:Ascomycota"
ASV807,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Agaricaceae,1.00,Macrolepiota,0.93,Macrolepiota_procera,0.93,+,Species,Macrolepiota_procera,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Macrolepiota,s:Macrolepiota_procera"
ASV809,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Strophariaceae,1.00,Deconica,0.97,Deconica_inquilina,0.87,+,Species,Deconica_inquilina,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Strophariaceae,g:Deconica,s:Deconica_inquilina"
ASV802,Fungi,1.00,Ascomycota,0.85,,,,,,,,,,,+,Phylum,Ascomycota,"k:Fungi,p:Ascomycota"
ASV811,Fungi,1.00,Ascomycota,0.99,Sordariomycetes,0.88,Coniochaetales,0.88,Coniochaetaceae,0.88,Lecythophora,0.88,Lecythophora_sp.,0.88,+,Species,Lecythophora_sp.,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Lecythophora,s:Lecythophora_sp."
ASV810,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,1.00,Pleosporales,1.00,Massarinaceae,0.99,Massarina,0.99,Massarina_sp._MUT_4323,0.95,+,Species,Massarina_sp._MUT_4323,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Massarinaceae,g:Massarina,s:Massarina_sp._MUT_4323"
ASV812,Fungi,1.00,Ascomycota,0.96,,,,,,,,,,,+,Phylum,Ascomycota,"k:Fungi,p:Ascomycota"
ASV813,Fungi,1.00,Ascomycota,1.00,Leotiomycetes,1.00,Helotiales,1.00,,,Cadophora,1.00,Cadophora_malorum,1.00,+,Species,Cadophora_malorum,"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Cadophora,s:Cadophora_malorum"
ASV814,Fungi,1.00,Basidiomycota,0.86,,,,,,,,,,,+,Phylum,Basidiomycota,"k:Fungi,p:Basidiomycota"
ASV815,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Agaricaceae,1.00,Lepiota,1.00,Lepiota_rhodorhiza,1.00,+,Species,Lepiota_rhodorhiza,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Lepiota,s:Lepiota_rhodorhiza"
ASV808,Fungi,1.00,Ascomycota,1.00,Eurotiomycetes,0.96,Chaetothyriales,0.95,Herpotrichiellaceae,0.93,Capronia,0.91,,,+,Genus,Capronia,"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Capronia"
ASV817,Fungi,1.00,Ascomycota,1.00,Taphrinomycetes,1.00,Taphrinales,1.00,Taphrinaceae,1.00,,,,,+,Family,Taphrinaceae,"k:Fungi,p:Ascomycota,c:Taphrinomycetes,o:Taphrinales,f:Taphrinaceae"
ASV818,Fungi,1.00,Basidiomycota,1.00,Agaricostilbomycetes,1.00,Agaricostilbales,1.00,Kondoaceae,1.00,Kondoa,1.00,Kondoa_gutianensis,1.00,-,Species,Kondoa_gutianensis,"k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Kondoaceae,g:Kondoa,s:Kondoa_gutianensis"
ASV819,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Geastrales,1.00,Geastraceae,1.00,Geastrum,1.00,Geastrum_rufescens,1.00,+,Species,Geastrum_rufescens,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Geastraceae,g:Geastrum,s:Geastrum_rufescens"
ASV82,Fungi,1.00,Ascomycota,1.00,Eurotiomycetes,1.00,Onygenales,1.00,Onygenaceae,1.00,Chrysosporium,1.00,Chrysosporium_carmichaelii,1.00,+,Species,Chrysosporium_carmichaelii,"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Onygenales,f:Onygenaceae,g:Chrysosporium,s:Chrysosporium_carmichaelii"
ASV820,Fungi,1.00,Ascomycota,1.00,Eurotiomycetes,1.00,Chaetothyriales,1.00,Herpotrichiellaceae,1.00,,,,,+,Family,Herpotrichiellaceae,"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae"
ASV821,Fungi,1.00,Ascomycota,0.98,Dothideomycetes,0.86,Pleosporales,0.80,,,,,,,+,Order,Pleosporales,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
ASV823,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Xylariales,1.00,Xylariaceae,1.00,Hypoxylon,1.00,Hypoxylon_perforatum,0.94,+,Species,Hypoxylon_perforatum,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae,g:Hypoxylon,s:Hypoxylon_perforatum"
ASV824,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,0.80,,,,,,,,,+,Class,Dothideomycetes,"k:Fungi,p:Ascomycota,c:Dothideomycetes"
ASV826,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV825,Fungi,1.00,Ascomycota,0.97,,,,,,,,,,,+,Phylum,Ascomycota,"k:Fungi,p:Ascomycota"
ASV816,Fungi,1.00,Ascomycota,1.00,Leotiomycetes,0.98,Thelebolales,0.98,Thelebolaceae,0.98,,,,,-,Family,Thelebolaceae,"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae"
ASV827,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV828,Fungi,1.00,Ascomycota,0.99,Sordariomycetes,0.87,,,,,,,,,+,Class,Sordariomycetes,"k:Fungi,p:Ascomycota,c:Sordariomycetes"
ASV822,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Xylariales,1.00,Xylariaceae,1.00,Daldinia,1.00,Daldinia_childiae,0.99,+,Species,Daldinia_childiae,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae,g:Daldinia,s:Daldinia_childiae"
ASV83,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Psathyrellaceae,1.00,Lacrymaria,1.00,Lacrymaria_lacrymabunda,1.00,+,Species,Lacrymaria_lacrymabunda,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Lacrymaria,s:Lacrymaria_lacrymabunda"
ASV830,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Cortinariaceae,1.00,Cortinarius,1.00,Cortinarius_arcuatorum,0.99,+,Species,Cortinarius_arcuatorum,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius,s:Cortinarius_arcuatorum"
ASV831,Fungi,1.00,Ascomycota,0.83,,,,,,,,,,,+,Phylum,Ascomycota,"k:Fungi,p:Ascomycota"
ASV832,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Thelephorales,1.00,Thelephoraceae,1.00,Tomentella,0.98,,,+,Genus,Tomentella,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella"
ASV834,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV835,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Lyophyllaceae,0.99,,,,,+,Family,Lyophyllaceae,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Lyophyllaceae"
ASV837,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Boletales,1.00,Boletaceae,1.00,Octaviania,0.99,Octaviania_sp.,0.99,+,Species,Octaviania_sp.,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Boletaceae,g:Octaviania,s:Octaviania_sp."
